,Senetence,TfIsf,Length,Position,ProperNouns,CueWords,TopicWords,Rank
0,PIN not recieved.,0.04419545902244753,0.08035714285714286,1.0,0.5,0.0,0.0,0.2701005442647956
1,"Hello,  I have issued a new Debit/ATM card for my account no.",0.0026316787609301172,0.4732142857142857,0.9285714285714286,1.0,0.0,0.3333333333333333,0.4955143422398722
2,039301509110.,1.0,0.044642857142857144,0.8571428571428572,0.0,0.0,0.0,0.481735129605861
3,This charged around Rs 240 ( so unreasonable amount) for it on my account and Bank officer tells this is service charge.,0.00021498625891442404,1.0,0.7857142857142857,1.0,1.0,1.0,1.0
4,The card was not delivered to my home however new pin came to home .,0.0037133426241001744,0.5357142857142857,0.7142857142857143,0.0,0.0,1.0,0.7414189097086537
5,I collected card from Kondhwa branch after three consecutive visits.,0.00393551483059039,0.5357142857142857,0.6428571428571428,0.5,0.0,0.16666666666666666,0.29576951536723584
6,"When i tried to use card, the card was blocked.",0.0004373777095354736,0.3482142857142857,0.5714285714285714,0.0,0.0,0.8333333333333334,0.5835602612059532
7,"When i went to bank next day, they requested to apply for deblocking of card.",0.002151752133499009,0.6160714285714286,0.5,0.0,0.0,0.8333333333333334,0.5948979360083747
8,What is this ?,0.05629498701974589,0.05357142857142857,0.4285714285714286,0.0,0.0,0.0,0.06713486659093798
9,"If i issue a new card, it should come in deblocked state ?",0.0002368515119968592,0.44642857142857145,0.3571428571428571,0.0,0.0,0.3333333333333333,0.2578666919359513
10,"Anyways, so that wasted one more day.",0.014800944105642023,0.25892857142857145,0.2857142857142857,0.0,1.0,0.0,0.1573402096732201
11,After that the New pin for new card was not working.,0.005875850951610871,0.39285714285714285,0.2142857142857143,0.5,0.0,0.16666666666666666,0.14922748853239332
12,I informed customer care.,0.012243602720129592,0.15178571428571427,0.1428571428571429,0.0,0.0,0.16666666666666666,0.0700186237347894
13,"""They told there is some problem in CVC no.",0.016150441847282964,0.3125,0.0714285714285714,0.5,0.0,0.16666666666666666,0.09932981350949893
14,of card.,0.037604168270443,0.0,0.0,0.0,0.0,0.16666666666666666,0.016036012448966106
15,"Please reissue pin, it will work.""",0.020379339890814915,0.23214285714285715,0.0714285714285714,0.5,0.0,0.0,0.0
16,"I requested for new Pin in December, till date the pin is not delivered.",0.0017485635988816724,0.5714285714285714,0.1428571428571429,1.0,0.0,0.8333333333333334,0.5417658093554875
17,When i enquired in Magarpatta branch.,0.01169087900183444,0.25892857142857145,0.2142857142857143,0.5,0.0,0.3333333333333333,0.22563567122767222
18,"They say ""The Pin is despatched on 2nd Jan.",0.01664574610796326,0.3125,0.2857142857142857,1.0,0.0,0.3333333333333333,0.28555574938951506
19,"It will come the next day.""",0.013781472883228995,0.16964285714285715,0.3571428571428571,0.0,0.0,0.3333333333333333,0.22843261519067745
20,Till today I am waiting.,0.016434561207858994,0.14285714285714285,0.4285714285714286,0.5,0.0,0.16666666666666666,0.18704464472029939
21,I am just frustated with all this.,0.010417006636924553,0.23214285714285715,0.5,0.0,0.0,0.0,0.09651123760405468
22,"During all this new card matter, I am unable to use netbanking and ATM from almost a month now.",0.0,0.7767857142857143,0.5714285714285714,0.5,0.0,0.5,0.4838988028751349
23,ICICI charges so much for such small things with pathetic service.,0.012960420048815051,0.5178571428571429,0.6428571428571428,0.5,0.0,0.6666666666666666,0.5689624464914526
24,Even an account statement incurs around Rs.,0.013078440774406142,0.3125,0.7142857142857143,0.5,0.0,0.8333333333333334,0.656626964057532
25,150 or 200 ( i don't remember exactly).,0.043094503686742835,0.2767857142857143,0.7857142857142857,0.0,0.0,0.0,0.1983658313104821
26,Is there anybody from ICICI who can take responsibility and look into this matter ?,0.0047547682871220956,0.6696428571428571,0.8571428571428572,0.5,0.0,0.3333333333333333,0.46802970382716486
27,"regards, Ehteshaam",0.04286682466345316,0.08928571428571429,0.9285714285714286,0.5,0.0,0.0,0.24914318591608606
